user,text,favorite_count,retweet_count,created_at
elonmusk,Grok https://t.co/GPnZd1Gfut,5501,872,2025-10-02 00:16:48+00:00
elonmusk,!! https://t.co/SJYiG0jKR7,19052,3192,2025-10-01 23:33:19+00:00
elonmusk,Cancel Netflix https://t.co/y0w2WU1EiI,97494,15605,2025-10-01 23:26:30+00:00
elonmusk,"Wow, 100% of Netflix employee donation are to the Democratic Party! https://t.co/MvXGEYolKF",60926,13248,2025-10-01 23:01:24+00:00
elonmusk,Essential https://t.co/CVmm5gA9Lz,16245,2091,2025-10-01 22:55:34+00:00
elonmusk,"Please reply if you see this within 5 minutes of posting, but not later than that. 

This is a test to determine how long it takes for users to receive notifications of 𝕏 posts on their actual device.",54260,4863,2025-10-01 22:36:46+00:00
elonmusk,"Cool!

Starlink will keep improving as we launch more satellites. https://t.co/V2Ua12h6j2",14981,1744,2025-10-01 22:23:02+00:00
elonmusk,I do this periodically,8756,453,2025-10-01 22:11:01+00:00
elonmusk,.,16057,1376,2025-10-01 22:05:06+00:00
elonmusk,!! https://t.co/QOB4uPlCIv,40998,10956,2025-10-01 21:11:27+00:00
elonmusk,"While not without its flaws, there is wisdom in the jury system https://t.co/c7VIBfWfTo",39767,5642,2025-10-01 17:49:51+00:00
elonmusk,Cancel Netflix https://t.co/K0ZLCbWHHo,169553,31312,2025-10-01 17:48:39+00:00
elonmusk,"With rare exception, ideas really are trivial compared to execution.

For example, the idea of going to the Moon is simple, but ACTUALLY going to the Moon is staggeringly difficult.",90443,8260,2025-10-01 17:42:19+00:00
elonmusk,It’s not ok to say this about any group! https://t.co/PzofHZEOsf,185080,27676,2025-10-01 17:31:59+00:00
elonmusk,Super important for civilization https://t.co/uCiLhKLHn7,38814,6401,2025-10-01 17:30:51+00:00
elonmusk,"The FBI was taking their “hate group” definitions from ADL, which is why FBI was investigating Charlie Kirk &amp; Turning Point, instead of his murderers … https://t.co/xTAfSY8vqr",91670,16714,2025-10-01 16:47:49+00:00
elonmusk,"Shameful action by Judge Price. 

Remove him from the bench! https://t.co/1LPOpuR28m",195559,41137,2025-10-01 16:40:19+00:00
